Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
FUNC_MUT,n100p3.txt,1699.02,7381,552,NO_IMPROVEMENT
STANDARD_EVOL1,n100p3.txt,1701.55,4437,327,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n100p3.txt,1696.06,3938,282,NO_IMPROVEMENT
STANDARD,n200p1.txt,4523.90,10507,1867,NO_IMPROVEMENT
STANDARD_P2,n200p1.txt,4195.10,22093,2020,NO_IMPROVEMENT
STANDARD_M2,n200p1.txt,1686.09,1266,210,NO_IMPROVEMENT
FUNC_POP,n200p1.txt,3617.03,19479,896,NO_IMPROVEMENT
FUNC_MUT,n200p1.txt,4876.07,15607,574,NO_IMPROVEMENT
STANDARD_EVOL1,n200p1.txt,2373.26,6261,1028,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n200p1.txt,3150.93,8777,1469,NO_IMPROVEMENT
STANDARD,n200p2.txt,4505.80,68423,1330,NO_IMPROVEMENT
STANDARD_P2,n200p2.txt,4533.42,73919,719,NO_IMPROVEMENT
STANDARD_M2,n200p2.txt,3023.81,33916,672,NO_IMPROVEMENT
FUNC_POP,n200p2.txt,4607.53,259845,1255,NO_IMPROVEMENT
FUNC_MUT,n200p2.txt,4665.08,31471,610,NO_IMPROVEMENT
STANDARD_EVOL1,n200p2.txt,4533.01,45248,867,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n200p2.txt,4588.68,34750,624,NO_IMPROVEMENT
STANDARD,n200p3.txt,4887.89,68287,944,NO_IMPROVEMENT
STANDARD_P2,n200p3.txt,4836.80,145716,998,NO_IMPROVEMENT
STANDARD_M2,n200p3.txt,3237.84,70751,995,NO_IMPROVEMENT
FUNC_POP,n200p3.txt,4835.44,188726,634,NO_IMPROVEMENT
FUNC_MUT,n200p3.txt,4906.30,52429,721,NO_IMPROVEMENT
STANDARD_EVOL1,n200p3.txt,4835.27,40467,551,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n200p3.txt,4927.96,45163,585,NO_IMPROVEMENT
STANDARD,n400p1.txt,6275.95,41126,3028,NO_IMPROVEMENT
STANDARD_P2,n400p1.txt,2524.67,22494,876,NO_IMPROVEMENT
STANDARD_M2,n400p1.txt,-1705.27,2801,201,NO_IMPROVEMENT
FUNC_POP,n400p1.txt,2764.20,127404,1386,NO_IMPROVEMENT
FUNC_MUT,n400p1.txt,9976.04,149017,1661,NO_IMPROVEMENT
STANDARD_EVOL1,n400p1.txt,-1692.57,3944,261,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n400p1.txt,2251.56,22511,1526,NO_IMPROVEMENT
STANDARD,n400p2.txt,11446.36,309639,1560,NO_IMPROVEMENT
STANDARD_P2,n400p2.txt,10843.64,382152,967,NO_IMPROVEMENT
STANDARD_M2,n400p2.txt,6593.57,203177,1049,NO_IMPROVEMENT
FUNC_POP,n400p2.txt,11405.73,1800549,1135,TIME_LIMIT
FUNC_MUT,n400p2.txt,12754.81,309181,1552,NO_IMPROVEMENT
STANDARD_EVOL1,n400p2.txt,11231.59,124142,621,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n400p2.txt,13052.73,378179,1723,NO_IMPROVEMENT
STANDARD,n400p3.txt,10993.49,374489,1300,NO_IMPROVEMENT
STANDARD_P2,n400p3.txt,10939.75,1100983,1897,NO_IMPROVEMENT
STANDARD_M2,n400p3.txt,5176.53,86163,311,NO_IMPROVEMENT
FUNC_POP,n400p3.txt,11068.91,1801302,779,TIME_LIMIT
FUNC_MUT,n400p3.txt,12508.73,369136,1265,NO_IMPROVEMENT
STANDARD_EVOL1,n400p3.txt,10757.52,178924,607,NO_IMPROVEMENT
STANDARD_MUT_EVOL1,n400p3.txt,12750.41,438802,1378,NO_IMPROVEMENT
