Configuration,Instance,BestSolution,Time_ms,Generations,StopReason
Padrão+M2,n200p3,3521.94,85292,1075,Sem Melhoria
FuncPop,n200p3,4826.02,511906,1577,Sem Melhoria
FuncMut,n200p3,4906.98,55798,682,Sem Melhoria
Padrão+Alt1,n200p3,4840.23,102369,1254,Sem Melhoria
Pop+Mut+Alt1,n200p3,4915.92,140533,438,Sem Melhoria
Padrão+Alt2,n200p3,4861.33,66668,880,Sem Melhoria
Pop+Alt2,n200p3,4886.85,363833,1201,Sem Melhoria
Padrão+Alt3,n200p3,4914.76,97859,1297,Sem Melhoria
Pop+Alt3,n200p3,4914.39,449467,1540,Sem Melhoria
Mut+Alt3,n200p3,4898.61,56638,724,Sem Melhoria
Padrão,n400p1,5791.25,30564,2000,Máximo de gerações
Padrão+P2,n400p1,3935.09,56213,2000,Máximo de gerações
Padrão+M2,n400p1,-1705.27,3094,201,Sem Melhoria
FuncPop,n400p1,2420.0,149149,1502,Sem Melhoria
FuncMut,n400p1,10314.09,190357,1869,Sem Melhoria
Padrão+Alt1,n400p1,-1696.25,3371,203,Sem Melhoria
Pop+Mut+Alt1,n400p1,-1522.48,43340,402,Sem Melhoria
Padrão+Alt2,n400p1,5709.25,29078,2000,Máximo de gerações
Pop+Alt2,n400p1,2070.74,68129,719,Sem Melhoria
Padrão+Alt3,n400p1,2666.04,17923,1248,Sem Melhoria
Pop+Alt3,n400p1,697.27,92794,1001,Sem Melhoria
Mut+Alt3,n400p1,3789.45,16852,1130,Sem Melhoria
Padrão,n400p2,10860.06,341102,1471,Sem Melhoria
Padrão+P2,n400p2,10907.13,719287,1559,Sem Melhoria
Padrão+M2,n400p2,6296.18,302686,1342,Sem Melhoria
FuncPop,n400p2,11246.94,1800164,979,Limite de Tempo
FuncMut,n400p2,13035.97,313357,1341,Sem Melhoria
Padrão+Alt1,n400p2,11173.23,154864,658,Sem Melhoria
Pop+Mut+Alt1,n400p2,13085.76,1169309,623,Sem Melhoria
Padrão+Alt2,n400p2,11322.67,355217,1784,Sem Melhoria
Pop+Alt2,n400p2,11567.42,1688424,1034,Sem Melhoria
Padrão+Alt3,n400p2,12105.03,420641,2000,Máximo de gerações
Pop+Alt3,n400p2,11393.79,1800903,1113,Limite de Tempo
Mut+Alt3,n400p2,12773.81,368350,1804,Sem Melhoria
Padrão,n400p3,10834.66,496707,1637,Sem Melhoria
Padrão+P2,n400p3,10978.05,821518,1331,Sem Melhoria
Padrão+M2,n400p3,5611.76,250258,873,Sem Melhoria
FuncPop,n400p3,11168.34,1802058,754,Limite de Tempo
FuncMut,n400p3,12800.17,547468,1805,Sem Melhoria
Padrão+Alt1,n400p3,10857.9,225208,740,Sem Melhoria
Pop+Mut+Alt1,n400p3,12848.96,1387963,569,Sem Melhoria
Padrão+Alt2,n400p3,11190.87,532845,1843,Sem Melhoria
Pop+Alt2,n400p3,11464.25,1800220,751,Limite de Tempo
Padrão+Alt3,n400p3,11816.85,611290,2000,Máximo de gerações
Pop+Alt3,n400p3,10440.02,1801596,748,Limite de Tempo
Mut+Alt3,n400p3,12614.33,441596,1460,Sem Melhoria
