Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n100_sd08_4,PP2,0,null,68,12,0
instance_n100_sd08_4,PP2,0,null,69,1928,10728
instance_n100_sd08_4,PP2,0,null,70,1928,10729
instance_n100_sd08_4,PP2,0,null,71,2263,12124
instance_n100_sd08_4,PP2,0,null,72,5231,40000
instance_n100_sd08_4,PP1,0,null,68,12,0
instance_n100_sd08_4,PP1,0,null,69,1853,10728
instance_n100_sd08_4,PP1,0,null,70,1853,10729
instance_n100_sd08_4,PP1,0,null,71,2156,12124
instance_n100_sd08_4,PP1,0,null,72,5282,40000
instance_n100_sd08_4,PP3,0,null,68,13,0
instance_n100_sd08_4,PP3,0,null,69,1992,10728
instance_n100_sd08_4,PP3,0,null,70,1992,10729
instance_n100_sd08_4,PP3,0,null,71,2251,12124
instance_n100_sd08_4,PP3,0,null,72,5311,40000
instance_n100_sd08_4,PP4,0,null,68,12,0
instance_n100_sd08_4,PP4,0,null,69,1741,10728
instance_n100_sd08_4,PP4,0,null,70,1742,10729
instance_n100_sd08_4,PP4,0,null,71,2007,12124
instance_n100_sd08_4,PP4,0,null,72,5058,40000
instance_n100_sd10_0,PP1,0,null,88,15,0
instance_n100_sd10_0,PP1,0,null,89,16,2
instance_n100_sd10_0,PP1,0,null,90,17,5
instance_n100_sd10_0,PP1,0,null,91,17,8
instance_n100_sd10_0,PP1,0,null,92,18,11
instance_n100_sd10_0,PP1,0,null,93,19,14
instance_n100_sd10_0,PP2,0,null,88,16,0
instance_n100_sd10_0,PP2,0,null,89,16,2
instance_n100_sd10_0,PP2,0,null,90,17,5
instance_n100_sd10_0,PP2,0,null,91,18,8
instance_n100_sd10_0,PP2,0,null,92,19,11
instance_n100_sd10_0,PP2,0,null,93,20,14
instance_n100_sd10_0,PP3,0,null,88,17,0
instance_n100_sd10_0,PP3,0,null,89,18,2
instance_n100_sd10_0,PP3,0,null,90,19,5
instance_n100_sd10_0,PP3,0,null,91,19,8
instance_n100_sd10_0,PP3,0,null,92,20,11
instance_n100_sd10_0,PP3,0,null,93,21,14
instance_n100_sd10_0,PP4,0,null,88,32,0
instance_n100_sd10_0,PP4,0,null,89,33,2
instance_n100_sd10_0,PP4,0,null,90,36,5
instance_n100_sd10_0,PP4,0,null,91,36,8
instance_n100_sd10_0,PP4,0,null,92,39,11
instance_n100_sd10_0,PP4,0,null,93,40,14
instance_n100_sd10_1,PP1,0,null,89,14,0
instance_n100_sd10_1,PP1,0,null,91,1461,20000
instance_n100_sd10_1,PP1,0,null,92,3004,30000
instance_n100_sd10_1,PP1,0,null,93,3009,20032
instance_n100_sd10_1,PP1,0,null,94,3014,20065
instance_n100_sd10_1,PP1,0,null,95,3019,20098
instance_n100_sd10_1,PP1,0,null,96,3024,20131
instance_n100_sd10_1,PP1,0,null,97,4901,30139
instance_n100_sd10_1,PP1,0,null,98,10783,70147
instance_n100_sd10_1,PP2,0,null,89,16,0
instance_n100_sd10_1,PP2,0,null,91,1562,20000
instance_n100_sd10_1,PP2,0,null,92,3167,30000
instance_n100_sd10_1,PP2,0,null,93,3172,20032
instance_n100_sd10_1,PP2,0,null,94,3177,20065
instance_n100_sd10_1,PP2,0,null,95,3182,20098
instance_n100_sd10_1,PP2,0,null,96,3187,20131
instance_n100_sd10_1,PP2,0,null,97,4964,30139
instance_n100_sd10_1,PP2,0,null,98,10943,70147
instance_n100_sd10_1,PP3,0,null,89,14,0
instance_n100_sd10_1,PP3,0,null,91,1494,20000
instance_n100_sd10_1,PP3,0,null,92,2953,30000
instance_n100_sd10_1,PP3,0,null,93,2958,20032
instance_n100_sd10_1,PP3,0,null,94,2962,20065
instance_n100_sd10_1,PP3,0,null,95,2967,20098
instance_n100_sd10_1,PP3,0,null,96,2972,20131
instance_n100_sd10_1,PP3,0,null,97,4699,30139
instance_n100_sd10_1,PP3,0,null,98,10797,70147
instance_n100_sd10_1,PP4,0,null,89,15,0
instance_n100_sd10_1,PP4,0,null,91,1516,20000
instance_n100_sd10_1,PP4,0,null,92,2954,30000
instance_n100_sd10_1,PP4,0,null,93,2959,20032
instance_n100_sd10_1,PP4,0,null,94,2963,20065
instance_n100_sd10_1,PP4,0,null,95,2968,20098
instance_n100_sd10_1,PP4,0,null,96,2974,20131
instance_n100_sd10_1,PP4,0,null,97,4754,30139
instance_n100_sd10_1,PP4,0,null,98,10988,70147
instance_n100_sd10_2,PP2,0,null,91,16,0
instance_n100_sd10_2,PP2,0,null,92,17,2
instance_n100_sd10_2,PP2,0,null,93,17,3
instance_n100_sd10_2,PP2,0,null,94,18,6
instance_n100_sd10_2,PP2,0,null,95,18,7
instance_n100_sd10_2,PP2,0,null,96,19,10
instance_n100_sd10_2,PP2,0,null,97,5112,40000
instance_n100_sd10_2,PP2,0,null,98,11884,70031
instance_n100_sd10_2,PP1,0,null,91,15,0
instance_n100_sd10_2,PP1,0,null,92,16,2
instance_n100_sd10_2,PP1,0,null,93,16,3
instance_n100_sd10_2,PP1,0,null,94,17,6
instance_n100_sd10_2,PP1,0,null,95,18,7
instance_n100_sd10_2,PP1,0,null,96,18,10
instance_n100_sd10_2,PP1,0,null,97,5264,40000
instance_n100_sd10_2,PP1,0,null,98,11917,70031
instance_n100_sd10_2,PP3,0,null,91,15,0
instance_n100_sd10_2,PP3,0,null,92,16,2
instance_n100_sd10_2,PP3,0,null,93,17,3
instance_n100_sd10_2,PP3,0,null,94,17,6
instance_n100_sd10_2,PP3,0,null,95,18,7
instance_n100_sd10_2,PP3,0,null,96,19,10
instance_n100_sd10_2,PP3,0,null,97,5314,40000
instance_n100_sd10_2,PP3,0,null,98,12126,70031
instance_n100_sd10_2,PP4,0,null,91,16,0
instance_n100_sd10_2,PP4,0,null,92,17,2
instance_n100_sd10_2,PP4,0,null,93,17,3
instance_n100_sd10_2,PP4,0,null,94,18,6
instance_n100_sd10_2,PP4,0,null,95,18,7
instance_n100_sd10_2,PP4,0,null,96,19,10
instance_n100_sd10_2,PP4,0,null,97,5205,40000
instance_n100_sd10_2,PP4,0,null,98,11851,70031
instance_n100_sd10_3,PP1,0,null,109,17,0
instance_n100_sd10_3,PP3,0,null,109,18,0
instance_n100_sd10_3,PP2,0,null,109,17,0
instance_n100_sd10_3,PP4,0,null,109,19,0
instance_n100_sd10_4,PP1,0,null,98,17,0
instance_n100_sd10_4,PP1,0,null,99,20,16
instance_n100_sd10_4,PP1,0,null,100,20,17
instance_n100_sd10_4,PP1,0,null,101,21,18
instance_n100_sd10_4,PP1,0,null,102,21,19
instance_n100_sd10_4,PP1,0,null,103,21,20
instance_n100_sd10_4,PP1,0,null,104,20312,120000
instance_n100_sd10_4,PP1,0,null,105,22060,120037
instance_n100_sd10_4,PP2,0,null,98,17,0
instance_n100_sd10_4,PP2,0,null,99,20,16
instance_n100_sd10_4,PP2,0,null,100,20,17
instance_n100_sd10_4,PP2,0,null,101,21,18
instance_n100_sd10_4,PP2,0,null,102,21,19
instance_n100_sd10_4,PP2,0,null,103,21,20
instance_n100_sd10_4,PP2,0,null,104,19736,120000
instance_n100_sd10_4,PP2,0,null,105,21469,120037
instance_n100_sd10_4,PP3,0,null,98,15,0
instance_n100_sd10_4,PP3,0,null,99,18,16
instance_n100_sd10_4,PP3,0,null,100,19,17
instance_n100_sd10_4,PP3,0,null,101,19,18
instance_n100_sd10_4,PP3,0,null,102,19,19
instance_n100_sd10_4,PP3,0,null,103,19,20
instance_n100_sd10_4,PP3,0,null,104,20162,120000
instance_n100_sd10_4,PP3,0,null,105,21819,120037
instance_n100_sd10_4,PP4,0,null,98,17,0
instance_n100_sd10_4,PP4,0,null,99,20,16
instance_n100_sd10_4,PP4,0,null,100,20,17
instance_n100_sd10_4,PP4,0,null,101,20,18
instance_n100_sd10_4,PP4,0,null,102,21,19
instance_n100_sd10_4,PP4,0,null,103,21,20
instance_n100_sd10_4,PP4,0,null,104,19775,120000
instance_n100_sd10_4,PP4,0,null,105,21488,120037
instance_n200_sd02_1,PP1,0,null,23,19,0
instance_n200_sd02_1,PP2,0,null,23,20,0
instance_n200_sd02_1,PP3,0,null,23,20,0
instance_n200_sd02_1,PP4,0,null,23,20,0
instance_n200_sd02_0,PP1,0,null,23,55,0
instance_n200_sd02_0,PP3,0,null,23,22,0
instance_n200_sd02_0,PP2,0,null,23,32,0
instance_n200_sd02_0,PP4,0,null,23,21,0
instance_n200_sd02_2,PP3,0,null,22,21,0
instance_n200_sd02_2,PP2,0,null,22,20,0
instance_n200_sd02_2,PP1,0,null,22,26,0
instance_n200_sd02_2,PP4,0,null,22,21,0
instance_n200_sd02_3,PP1,0,null,21,21,0
instance_n200_sd02_3,PP2,0,null,21,22,0
instance_n200_sd02_3,PP3,0,null,21,43,0
instance_n200_sd02_3,PP4,0,null,21,19,0
instance_n200_sd02_4,PP1,0,null,22,20,0
instance_n200_sd02_4,PP1,0,null,23,25,12
instance_n200_sd02_4,PP2,0,null,22,19,0
instance_n200_sd02_4,PP2,0,null,23,25,12
instance_n200_sd02_4,PP3,0,null,22,20,0
instance_n200_sd02_4,PP3,0,null,23,25,12
instance_n200_sd02_4,PP4,0,null,22,21,0
instance_n200_sd02_4,PP4,0,null,23,27,12
instance_n200_sd04_0,PP1,0,null,44,32,0
instance_n200_sd04_0,PP1,0,null,45,5840,20000
instance_n200_sd04_0,PP3,0,null,44,52,0
instance_n200_sd04_0,PP3,0,null,45,5908,20000
instance_n200_sd04_0,PP2,0,null,44,34,0
instance_n200_sd04_0,PP2,0,null,45,5861,20000
instance_n200_sd04_0,PP4,0,null,44,33,0
instance_n200_sd04_0,PP4,0,null,45,5842,20000
instance_n200_sd04_1,PP1,0,null,44,29,0
instance_n200_sd04_1,PP2,0,null,44,30,0
instance_n200_sd04_1,PP3,0,null,44,31,0
instance_n200_sd04_1,PP4,0,null,44,31,0
instance_n200_sd04_2,PP1,0,null,47,39,0
instance_n200_sd04_2,PP2,0,null,47,32,0
