Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n300_sd10_0,TTT4,308,110,110,20100,20000
instance_n300_sd10_0,TTT4,206,110,110,194,0
instance_n300_sd10_0,TTT4,998,110,110,160,0
instance_n300_sd10_0,TTT4,35,110,107,291,0
instance_n300_sd10_0,TTT4,35,110,108,1025,262
instance_n300_sd10_0,TTT4,35,110,109,1027,263
instance_n300_sd10_0,TTT4,35,110,110,19842,20000
instance_n300_sd10_0,TTT4,709,110,110,181,0
instance_n300_sd10_0,TTT4,102,110,108,187,0
instance_n300_sd10_0,TTT4,102,110,109,770,276
instance_n300_sd10_0,TTT4,102,110,110,775,277
instance_n300_sd10_0,TTT4,370,110,107,163,0
instance_n300_sd10_0,TTT4,370,110,108,1220,500
instance_n300_sd10_0,TTT4,370,110,109,1404,599
instance_n300_sd10_0,TTT4,370,110,110,20073,20000
instance_n300_sd10_0,TTT4,199,110,111,187,0
instance_n300_sd10_0,TTT4,691,110,110,161,0
instance_n300_sd10_0,TTT4,38,110,111,165,0
instance_n300_sd10_0,TTT4,260,110,110,223,0
instance_n300_sd10_0,TTT4,33,110,109,158,0
instance_n300_sd10_0,TTT4,33,110,110,635,258
instance_n300_sd10_0,TTT4,432,110,110,163,0
instance_n300_sd10_0,TTT4,708,110,105,162,0
instance_n300_sd10_0,TTT4,708,110,106,509,180
instance_n300_sd10_0,TTT4,708,110,107,511,181
instance_n300_sd10_0,TTT4,708,110,110,19773,20000
instance_n300_sd10_0,TTT4,181,110,109,184,0
instance_n300_sd10_0,TTT4,181,110,110,741,276
instance_n300_sd10_0,TTT4,709,110,110,181,0
instance_n300_sd10_0,TTT4,440,110,106,171,0
instance_n300_sd10_0,TTT4,440,110,107,1538,614
instance_n300_sd10_0,TTT4,440,110,108,1541,615
instance_n300_sd10_0,TTT4,440,110,110,20118,20000
instance_n300_sd10_0,TTT4,340,110,106,161,0
instance_n300_sd10_0,TTT4,340,110,107,738,276
instance_n300_sd10_0,TTT4,340,110,110,19943,20000
instance_n300_sd10_0,TTT4,935,110,106,182,0
instance_n300_sd10_0,TTT4,935,110,107,1352,566
instance_n300_sd10_0,TTT4,935,110,110,16583,20000
instance_n300_sd10_0,TTT4,587,110,107,180,0
instance_n300_sd10_0,TTT4,587,110,108,758,270
instance_n300_sd10_0,TTT4,587,110,110,16810,20000
instance_n300_sd10_0,TTT4,528,110,107,186,0
instance_n300_sd10_0,TTT4,528,110,108,521,178
instance_n300_sd10_0,TTT4,528,110,109,669,267
instance_n300_sd10_0,TTT4,528,110,110,16732,20000
instance_n300_sd10_0,TTT4,805,110,108,367,0
instance_n300_sd10_0,TTT4,805,110,109,15671,20000
instance_n300_sd10_0,TTT4,805,110,110,16063,10382
instance_n300_sd10_0,TTT4,315,110,107,173,0
instance_n300_sd10_0,TTT4,315,110,108,756,258
instance_n300_sd10_0,TTT4,315,110,109,759,259
instance_n300_sd10_0,TTT4,315,110,110,15390,20000
instance_n300_sd10_0,TTT4,266,110,106,156,0
instance_n300_sd10_0,TTT4,266,110,107,722,272
instance_n300_sd10_0,TTT4,266,110,110,14520,20000
